,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
303,2184318228911405416,What channel is the new yellowstone series going to be on?,What channel is the new British yellowstone series going to be on in 2009?,Are you interested in the American or British version?,I'm interested in the British version.,BBC; BBC Two; British Broadcasting Corporation
304,2968331035051382885,What channel is the weather channel.on direct tv?,What channel is the Weather Channel on DirecTV in HD/SD?,Would you like to know the channel on DirecTV in HD/SD or on demand?,in HD/SD,362
305,2968331035051382885,What channel is the weather channel.on direct tv?,What channel is the Weather Channel on DirecTV on demand?,Would you like to know the channel on DirecTV in HD/SD or on demand?,on demand,1362
306,8296081380248746663,When did phantom of the opera movie come out?,When did the 1925 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1925 version.,"November 25, 1925"
307,8296081380248746663,When did phantom of the opera movie come out?,When did the 1943 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1943 version.,"August 12, 1943"
308,8296081380248746663,When did phantom of the opera movie come out?,When did the 1962 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1962 version.,25 June 1962
309,8296081380248746663,When did phantom of the opera movie come out?,When did the 1974 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1974 version.,31 October 1974
310,8296081380248746663,When did phantom of the opera movie come out?,When did the 1989 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1989 version.,"November 3, 1989"
311,8296081380248746663,When did phantom of the opera movie come out?,When did the 1998 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 1998 version.,20 November 1998
312,8296081380248746663,When did phantom of the opera movie come out?,When did the 2004 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 2004 version.,"December 22, 2004"
313,8296081380248746663,When did phantom of the opera movie come out?,When did the 2011 The Phantom of the Opera movie come out?,Which version of the movie are you interested in?,I'm interested in the 2011 version.,2 October 2011
314,-2802058105781423785,Where is alpha amylase found in the body?,Where is salivary alpha amylase found in the body?,Would you like to know where salivary or pancreatic alpha amylase is found in the body?,salivary,saliva
315,-2802058105781423785,Where is alpha amylase found in the body?,Where is pancreatic alpha amylase found in the body?,Would you like to know where salivary or pancreatic alpha amylase is found in the body?,pancreatic,pancreatic juice
316,-7648200374144536908,How many stages are there to the tour de france?,How many stages are there to the original tour de france?,Are you interested in the original or the modern Tour de France?,The original Tour de France,6
317,-7648200374144536908,How many stages are there to the tour de france?,How many stages are there to the modern tour de france?,Are you interested in the original or the modern Tour de France?,The modern Tour de France,21
318,-4154665303180898386,When is have and have nots season finale?,When is have and have nots season finale in 2017?,"Wich season, 2015, 2016 or 2017?",for 2017.,"September 12, 2017"
319,-4154665303180898386,When is have and have nots season finale?,When is have and have nots season finale in 2016?,"Wich season, 2015, 2016 or 2017?",2016.,"September 6, 2016"
320,-4154665303180898386,When is have and have nots season finale?,When is have and have nots season finale in 2015?,"Wich season, 2015, 2016 or 2017?",The 2015 season.,"September 22, 2015"
321,-3621356026681528104,When did the movie small soldiers come out?,When did the movie small soldiers come out in the United Kingdom?,Are you interested in when the movie came out in the United States or United Kingdom?,I'm interested in when it came out in the United Kingdom.,"June 4, 1998"
322,-3621356026681528104,When did the movie small soldiers come out?,When did the movie small soldiers come out throughout the United States?,Are you interested in when the movie came out in the United States or United Kingdom?,I'm interested in when it came out in the United States.,"July 10, 1998"
323,-3034523934124194939,Where does to catch a thief take place?,Where does to Catch a Thief take place in terms of plotline?,Do you want to know where according to the plotline or filming?,According to the plotline.,French Riviera
324,-3034523934124194939,Where does to catch a thief take place?,Where was To Catch a Thief filmed?,Do you want to know where according to the plotline or filming?,Where the filming took place.,"Cannes, Nice and the surrounding countryside of France"
325,-5691574297725446018,When was the adventures of tom sawyer published?,When was the the original Chatto and Windus unillustrated version of The Adventure of Tom Sawyer published?,Are you interested in knowing for the unillustrated Chatto and Windus version or for the authoritative American Publishing Company version?,I want to know about the Chatto and Windus version.,June 1876
326,-5691574297725446018,When was the adventures of tom sawyer published?,When was the authoritative American Publishing Company version of The Adventures of Tom Sawyer published?,Are you interested in knowing for the unillustrated Chatto and Windus version or for the authoritative American Publishing Company version?,Tell me the date for the authoritative American Publishing Company version.,December 1876
327,2521891659707571571,Who does chef's voice in south park?,Who does the original Chef's voice in South Park?,Do you want to know who does the voice for the original Chef or Darth Chef?,The original.,Isaac Hayes
328,2521891659707571571,Who does chef's voice in south park?,Who does the Darth Chef's voice in South Park?,Do you want to know who does the voice for the original Chef or Darth Chef?,Darth Chef.,Peter Serafinowicz
329,8387669331103688998,When did they stop making silver kennedy half dollars?,When did they stop making almost fully silver Kennedy half dollars?,Are you interested in when they stopped making them fully silver or when silver was completely elminated?,When they stopped making it fully silver.,1964
